web-scraper-order,web-scraper-start-url,laptop,laptop-href,category,category-href,subcategory,subcategory-href,pagination,pagination-href,product,product-href,brand,price,product code,specd
1633106727-196,https://www.goldonecomputer.com/,LAPTOP,https://www.goldonecomputer.com/index.php?route=information/home_laptop,Laptop,https://www.goldonecomputer.com/index.php?route=product/category&path=58,Gaming Laptop,https://www.goldonecomputer.com/index.php?route=product/category&path=58_37,2,https://www.goldonecomputer.com/index.php?route=product/category&path=58_37&page=2,"Lenovo IdeaPad Gaming 3 ( i7  10750​​H / 8GB / SSD 512GB PCIE / GTX1650 4GB / 15.6""FHD,120Hz )",https://www.goldonecomputer.com/index.php?route=product/product&path=58_37&product_id=1680,LENOVO,$959.00 ,Product Code: Gaming 3,"FREE : Original Accessories Bag, Mouse Gaming, Headset Gaming, Mouse Pad.
 -CPU: 10th Generation Intel® Core™ i7  10750H Processor (Cores6,Threads12,2.60GHz Up to 5.0GHz)-RAM: 8GB DDR4 
-Storage: SSD  512GB M2  PCIE
-Optical Drive: N/A-Graphic 1: NVIDIA® GeForce® GTX1650 4GB GDDR6-Graphic 2:  Intel® UHD Graphics-Display: 15.6-FHD(1920 x 1080) IPS-Level 120Hz
                -Wi-Fi :
-Wi-Fi 6 
-Bluetooth 5.0

       
                                                                        
                                 2x USB-A 3.2** Gen 1
1x USB-C 3.2
1x HDMI 2.0
1x RJ45
1x Headphone / mic combo

-Backlit  keyboard Blue
-Battery: 3 Cell 45Wh
-Weight: 2.2kg
-Color: Black 
Warranty
- 1year hardware  
- 6month for screen, keyboard & battery"
1633106464-145,https://www.goldonecomputer.com/,LAPTOP,https://www.goldonecomputer.com/index.php?route=information/home_laptop,Laptop,https://www.goldonecomputer.com/index.php?route=product/category&path=58,Gaming Laptop,https://www.goldonecomputer.com/index.php?route=product/category&path=58_37,,,"Asus ROG Zephyrus M16 GU603HR-K8095T (I7 11800H / 16GB / SSD 1T PCIE / RTX3070 8GB / 16""QHD,165Hz )",https://www.goldonecomputer.com/index.php?route=product/product&path=58_37&product_id=1554,ASUS,"$2,199.00 ",Product Code: GU603HR-K8095T,"FREE : Original Accessories,(Bag+ Mouse,Headset), Flash 32GB, Mouse Pad

 -CPU: -CPU:11th Generation Intel® Core™ i7  11800H Processor (Cores8,Threads16, 2.30GHz Up to 4.60GHz)-RAM: 16GB DDR4 3200MHz-Storage: SSD  1TB  PCIE
-Optical Drive: N/A-Graphic 1: NVIDIA® GeForce® RTX 3070 8GB GDDR6     -Graphic 2: Intel® UHD Graphics -Display: 16""QHD (2560 x 1600) 165Hz anti-glare display IPS-level              
-Wi-Fi :
-Wi-Fi 6 
-Bluetooth 5.1

1x 3.5mm Combo Audio Jack
1x HDMI 2.0b
1x USB 3.2 Gen 2 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery
1x RJ45 LAN port
1x card reader (microSD)
1x Thunderbolt™ 4 support DisplayPort™ 

-Battery: 90WHrs, 4S1P, 4-cell Li-ion
-Weight:1.90kg
-OS: Window 10 License 
-Color: BLACKWarranty
- 2-year hardware  
- 1 year for screen, keyboard & battery"
1633107058-254,https://www.goldonecomputer.com/,LAPTOP,https://www.goldonecomputer.com/index.php?route=information/home_laptop,Laptop,https://www.goldonecomputer.com/index.php?route=product/category&path=58,Notebook & Convertible,https://www.goldonecomputer.com/index.php?route=product/category&path=58_374,7,https://www.goldonecomputer.com/index.php?route=product/category&path=58_374&page=7,"Microsoft Surface Pro X SQ2 4G LTE (CPU SQ2/ 8GB/ SSD 256GB PCIE/ 13""FHD)",https://www.goldonecomputer.com/index.php?route=product/product&path=58_374&product_id=106,Microsoft,"$1,559.00 ",Product Code: Surface Pro X SQ2 4G LTE,"FREE: Sleeve, Mouse Wireless, Flash 32GB USB 3.1, Mouse Pad.
- CPU: Microsoft® SQ2- Ram: 16GB LPDDR4x- Storage: 256GB SSD PCiE- Graphics: Microsoft SQ1 Adreno 685- Display: 13”(2880x1920)                  
- Wifi 5- Bluetooth 0.5- Dual Camera- Weight: 0.8kg- Color: Black- OS: Windows 10 License
Warranty
- 1-year hardware  
- (No warranty for screen, battery, keyboard, fan & speaker,adapter)"
1633107035-249,https://www.goldonecomputer.com/,LAPTOP,https://www.goldonecomputer.com/index.php?route=information/home_laptop,Laptop,https://www.goldonecomputer.com/index.php?route=product/category&path=58,Notebook & Convertible,https://www.goldonecomputer.com/index.php?route=product/category&path=58_374,7,https://www.goldonecomputer.com/index.php?route=product/category&path=58_374&page=7,"MSI Modern 14 B11MOU-614KH (i3 11115G4 / 8GB / SSD 512GB PCIE / 14"" FHD/ Win 10)",https://www.goldonecomputer.com/index.php?route=product/product&path=58_374&product_id=1642,MSI,$599.00 ,Product Code: B11MOU-614KH,"FREE: Sleeve bag, Mouse Wireless,  Mouse Pad.
-CPU: Intel® Core™ i3-1115G4 Processor (Cores2,Threads4, 3.0GHz Up to 4.10GHz)
-RAM: 8GB DDR4 
-Storage: SSD 512GB PCIE 
-Optical Drive: N/A-Graphic: Intel® UHD Graphics
-Display : 14""FHD(1920 x 1080)         
                

-Wifi-Bluetooth: 5.0

Interface:1x Micro SD

                                                                        
                                        1x (4K @ 60Hz) HDMI
         
                                                                        
                               2x Type-A USB3.2 Gen1
                
                                                                        
                        1x Type-C (USB3.2 Gen2 / DP)

-Battery: 52 (Whr)
-Weight: 1.3kg-OS: Window 10 License -Color: CARBON GREY
Warranty
- 1-year hardware  
- 6Month for screen, keyboard & battery"
1633107334-285,https://www.goldonecomputer.com/,LAPTOP,https://www.goldonecomputer.com/index.php?route=information/home_laptop,Laptop,https://www.goldonecomputer.com/index.php?route=product/category&path=58,Notebook & Convertible,https://www.goldonecomputer.com/index.php?route=product/category&path=58_374,6,https://www.goldonecomputer.com/index.php?route=product/category&path=58_374&page=6,"MacBook Air 13""CTO (M1 Chip / 16GB / SSD 1TB /13.3"")",https://www.goldonecomputer.com/index.php?route=product/product&path=58_374&product_id=1229,Apple,"$1,899.00 ",Product Code: MacBook Air M1 Chip,"FREE: Sleeve, Mouse Wireless, Flash 32GB USB 3.1, Mouse Pad.
- CPU: Apple M1 Chip 8-Core CPU, 8-Core GPU, and 16-Core Neural Engine
- Ram: 16GB Unified Memory
- Storage: SSD 1TB
- Display:13.3'' Retina True Tone- HD Webcam, Wi-Fi, Bluetooth
- 3.5mm Headphone Jack
- Color:Gold
- Weight:1.29kg
Warranty- 1-year hardware  
- (No warranty for screen, battery, keyboard, fan & speaker, adapter)"
1633106710-193,https://www.goldonecomputer.com/,LAPTOP,https://www.goldonecomputer.com/index.php?route=information/home_laptop,Laptop,https://www.goldonecomputer.com/index.php?route=product/category&path=58,Gaming Laptop,https://www.goldonecomputer.com/index.php?route=product/category&path=58_37,2,https://www.goldonecomputer.com/index.php?route=product/category&path=58_37&page=2,"Lenovo Legion 5 Pro (AMD Ryzen™ 7 ​5800​​H / 16GB / SSD 512GB PCIE / RTX3060 6GB / 16""QHD,165Hz )",https://www.goldonecomputer.com/index.php?route=product/product&path=58_37&product_id=1148,LENOVO,"$1,549.00 ",Product Code: Legion 5 Pro,"FREE :Bag, Mouse Gaming, Mouse Pad.
 -CPU: AMD Ryzen™ 7 ​5800​​H-Processor (Cores8,Threads16, 3.2GHz Up to 4.4GHz)-RAM: 16GB DDR4 3200MHz-Storage: SSD  512GB M2  PCIE
-Optical Drive: N/A-Graphic 1: NVIDIA® GeForce® RTX3060 6GB GDDR6-Graphic 2: AMD Radeon™ Graphics-Display: 16""FHD(2560 x 1600) 2K IPS 165Hz
                -Wi-Fi :
-Wi-Fi 6 
-Bluetooth 5.1

       
                                                                        
                                 -Left:
 1x USB Type-C (USB 3.2 Gen 2, DisplayPort™ 1.4)
 1x Headphone / mic combo
-Right:
 1x USB-A 3.2 Gen 1
 1x E-Shutter Button
-Rear:
 1x 3 x USB-A 3.2 Gen 1 (1 always-on)
 1x HDMI 2.1
 1x RJ45


-Backlit  keyboard RGB
-Battery: 4Cell, 80Wh
-Weight: 2.54kg
-Color: Storm Grey
Warranty
- 1year hardware  
- 6month for screen, keyboard & battery"
1633107811-357,https://www.goldonecomputer.com/,LAPTOP,https://www.goldonecomputer.com/index.php?route=information/home_laptop,Laptop,https://www.goldonecomputer.com/index.php?route=product/category&path=58,Notebook & Convertible,https://www.goldonecomputer.com/index.php?route=product/category&path=58_374,3,https://www.goldonecomputer.com/index.php?route=product/category&path=58_374&page=3,"Asus ZenBook Flip 13 UX363EA-HP074T (i7 1165G7 / 16GB / SSD 1TB PCIE / 13.3""FHD)",https://www.goldonecomputer.com/index.php?route=product/product&path=58_374&product_id=233,ASUS,"$1,279.00 ",Product Code: UX363EA-HP074T,"FREE:Sleeve Bag, Flash 32GB, Mouse Wireless,  Mouse Pad.
-CPU:intel® Core™ i7-1165G7 Processor 2.8 GHz (12M Cache, up to 4.7 GHz, 4 cores)
-RAM: 16GB DDR4 Onboard (Not Upgrade)
-Storage: SSD 1TB PCIE
-Optical Drive: N/A-Graphic:Intel® Iris Xe Graphics
-Display : 13.3-FHD (1920 x 1080) OLED  Touch screen  
                
-Intel Wi-Fi 6
-Bluetooth V5.0

Ports 
1x HDMI 1.4
2x Thunderbolt™ 4 supports display / power delivery
1x USB 3.2 Gen 1 Type-A
Backlit Chiclet Keyboard with Num-key

-Battery: 4-Cells
-Weight: 1.30kg
-OS: Window 10 License 
-Color: GREY

Warranty
- 2-year hardware  
- 1 year for screen, keyboard & battery"
1633107970-384,https://www.goldonecomputer.com/,LAPTOP,https://www.goldonecomputer.com/index.php?route=information/home_laptop,Laptop,https://www.goldonecomputer.com/index.php?route=product/category&path=58,Notebook & Convertible,https://www.goldonecomputer.com/index.php?route=product/category&path=58_374,2,https://www.goldonecomputer.com/index.php?route=product/category&path=58_374&page=2,"Asus VivoBook 14 K413EQ-AM206T (i7 1165G7 / 8GB / 512GB SSD PCIE / MX350 2GB/ 14"" FHD )",https://www.goldonecomputer.com/index.php?route=product/product&path=58_374&product_id=456,ASUS,$879.00 ,Product Code: K413EQ-AM206T,"FREE: Backpack Asus, Flash 32GB, Mouse Wireless,  Mouse Pad.
-CPU: Intel®Core™ i7-1165G7 Processor 2.8GHz (12M Cache, up to 4.7GHz, 4cores)
-RAM: 8GB DDR4 Onboard (Not Upgrade)
-Storage: SSD 512GB PCIE 
-Optical Drive: N/A-Graphic1: NVIDIA® GeForce® MX350 2GB GDDR5-Graphic2: Intel® Iris® Xe Graphics-Display : 14""FHD(1920 x 1080)Anti-glare display            
              

-Intel Wi-Fi 6
-Bluetooth 5.0

Ports 
1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 2.0 Type-A
1x HDMI 1.4
1x HDMI
1x 3.5mm Combo Audio Jack
1x Headphone out
Micro SD card reader

-Battery: 3-Cells
-Weight: 1.40kg
-OS: Window 10 License 
-Color: INDIE BLACK 

Warranty
- 2-year hardware  
- 1 year for screen, keyboard & battery"
1633106571-168,https://www.goldonecomputer.com/,LAPTOP,https://www.goldonecomputer.com/index.php?route=information/home_laptop,Laptop,https://www.goldonecomputer.com/index.php?route=product/category&path=58,Gaming Laptop,https://www.goldonecomputer.com/index.php?route=product/category&path=58_37,,,"Acer Nitro 5 AN515-57-50F1 (I5 ​11400​​H / 8GB / SSD 512GB PCIE / GTX1650 4GB / 15.6""FHD,144Hz )",https://www.goldonecomputer.com/index.php?route=product/product&path=58_37&product_id=941,ACER,$949.00 ,Product Code: AN515-57-50F1,"FREE : Backpack , Mouse Gaming, Headset Gaming, Mouse Pad.
 -CPU: Intel® Core™ i5-11400H Processor (Cores6,Threads12, 2.70GHz Up to 4.50GHz)-RAM: 8GB DDR4 
-Storage: SSD  512GB M2 PCIE
-Optical Drive: N/A-Graphic 1: NVIDIA® GeForce® GTX 1650  4GB GDDR6 
-Graphic 2: Intel® UHD Graphics-Display: 15.6-FHD(1920 x 1080) IPS-Level 144Hz
                -Wi-Fi :
-Wi-Fi 
-Bluetooth 

       
                                                                        
                                 1x HDMI
2x USB 3.2 Gen
1x USB 3.2 Gen 1
1x USB 3.2(Type-C) Ports 1
1x Network (RJ-45)


-Battery: 4 Cell 
-Weight:2.2kg
-OS: Window 10 License Warranty
- 1year hardware  
- 6month for screen, keyboard & battery"
1633106908-230,https://www.goldonecomputer.com/,LAPTOP,https://www.goldonecomputer.com/index.php?route=information/home_laptop,Laptop,https://www.goldonecomputer.com/index.php?route=product/category&path=58,Notebook & Convertible,https://www.goldonecomputer.com/index.php?route=product/category&path=58_374,,,"Acer Aspire 5 A514-54G-75MU (i7 1165G7 / 4GB / SSD 256GB M2 Pcie / MX330 2G / 14""FHD )",https://www.goldonecomputer.com/index.php?route=product/product&path=58_374&product_id=549,ACER,$799.00 ,Product Code: A514-54G-75MU,"FREE: Carry Bag, Flash 32GB, Mouse Wireless,  Mouse Pad.
-CPU: Intel® Core™ i7-1165G7 Processor (Cores4,Threads8,2.80GHz Up to 4.70GHz)-RAM: 4GB DDR4 (2666HMz) OB + (Free 1 slot)
-Storage: SSD 256GB M2 PCIe NVMe (Free Sata 2.5"" slot Slim)
-Optical Drive: N/A-Graphic 1: NVIDIA® GeForce® MX330 with 2GB  
-Graphic 2: Intel Iris Xe Graphics
-Display : 14""FHD(1920×1080) IPS      
                

-Wifi-6-Bluetooth: 5.0
-Camera:  HD 720P-Interface:1x HDMI1xUSB1x USB 3.2 Gen 1 Port2x USB 3.2 Gen 2 Port 1x Network (RJ-45)1x Headphone
-Battery: 3-Cell 
-Weight: 1.45 kg-OS: DOS-Color: Silver


Warranty
- 1-year hardware  
- 6month for screen, keyboard & battery"
